Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Joel Embiid,28.0,PHI,C,66.0,11.0,20.1,0.548,1.0,3.0,0.33,0.587,0.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,33.1
Luka Dončić,23.0,DAL,PG,66.0,10.9,22.0,0.496,2.8,8.2,0.342,0.588,0.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,32.4
Damian Lillard,32.0,POR,PG,58.0,9.6,20.7,0.463,4.2,11.3,0.371,0.574,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,32.2
Shai Gilgeous-Alexander,24.0,OKC,PG,68.0,10.4,20.3,0.51,0.9,2.5,0.345,0.533,0.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,31.4
Giannis Antetokounmpo,28.0,MIL,PF,63.0,11.2,20.3,0.553,0.7,2.7,0.275,0.596,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,31.1
Jayson Tatum,24.0,BOS,SF,74.0,9.8,21.1,0.466,3.2,9.3,0.35,0.558,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,30.1
Stephen Curry,34.0,GSW,PG,56.0,10.0,20.2,0.493,4.9,11.4,0.427,0.579,0.915,0.7,5.4,6.1,6.3,0.9,0.4,3.2,29.4
Kevin Durant,34.0,2TM,PF,47.0,10.3,18.3,0.56,2.0,4.9,0.404,0.617,0.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,29.1
Kevin Durant,34.0,BRK,PF,39.0,10.5,18.8,0.559,1.8,4.8,0.376,0.622,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,29.7
Kevin Durant,34.0,PHO,PF,8.0,9.1,16.0,0.57,2.8,5.1,0.537,0.586,0.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,26.0
LeBron James,38.0,LAL,PF,55.0,11.1,22.2,0.5,2.2,6.9,0.321,0.58,0.768,1.2,7.1,8.3,6.8,0.9,0.6,3.2,28.9
Donovan Mitchell,26.0,CLE,SG,68.0,10.0,20.6,0.484,3.6,9.3,0.386,0.566,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,28.3
Devin Booker,26.0,PHO,SG,53.0,9.9,20.1,0.494,2.1,6.0,0.351,0.554,0.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,27.8
Kyrie Irving,30.0,2TM,SG,60.0,9.9,20.1,0.494,3.1,8.3,0.379,0.574,0.905,1.0,4.1,5.1,5.5,1.1,0.8,2.1,27.1
Kyrie Irving,30.0,BRK,PG,40.0,10.0,20.5,0.486,3.3,8.7,0.374,0.569,0.883,1.0,4.2,5.1,5.3,1.0,0.8,2.3,27.1
Kyrie Irving,30.0,DAL,SG,20.0,9.8,19.2,0.51,2.9,7.4,0.392,0.585,0.947,1.1,4.0,5.0,6.0,1.3,0.6,1.9,27.0
Jaylen Brown,26.0,BOS,SF,67.0,10.1,20.6,0.491,2.4,7.3,0.335,0.576,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,26.6
Ja Morant,23.0,MEM,PG,61.0,9.3,19.9,0.466,1.5,4.9,0.307,0.519,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,26.2
Trae Young,24.0,ATL,PG,73.0,8.2,19.0,0.429,2.1,6.3,0.335,0.476,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,26.2
Zion Williamson,22.0,NOP,PF,29.0,9.8,16.2,0.608,0.2,0.7,0.368,0.618,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,26.0
Anthony Davis,29.0,LAL,C,56.0,9.7,17.2,0.563,0.3,1.3,0.257,0.589,0.784,3.5,9.1,12.5,2.6,1.1,2.0,2.2,25.9
Lauri Markkanen,25.0,UTA,PF,66.0,8.7,17.3,0.499,3.0,7.7,0.391,0.585,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,25.6
Julius Randle,28.0,NYK,PF,77.0,8.5,18.6,0.459,2.8,8.3,0.343,0.553,0.757,1.8,8.1,10.0,4.1,0.6,0.3,2.8,25.1
De'Aaron Fox,25.0,SAC,PG,73.0,9.3,18.2,0.512,1.6,5.0,0.324,0.584,0.78,0.5,3.6,4.2,6.1,1.1,0.3,2.5,25.0
Zach LaVine,27.0,CHI,SG,77.0,8.7,18.0,0.485,2.6,7.1,0.375,0.556,0.848,0.5,3.9,4.5,4.2,0.9,0.2,2.5,24.8
Brandon Ingram,25.0,NOP,SF,45.0,9.0,18.6,0.484,1.4,3.6,0.39,0.507,0.882,0.5,5.0,5.5,5.8,0.7,0.4,3.3,24.7
Anthony Edwards,21.0,MIN,SG,79.0,8.9,19.5,0.459,2.7,7.3,0.369,0.513,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,24.6
DeMar DeRozan,33.0,CHI,SF,74.0,8.9,17.6,0.504,0.6,1.9,0.324,0.526,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,24.5
Nikola Jokić,27.0,DEN,C,69.0,9.4,14.8,0.632,0.8,2.2,0.383,0.675,0.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,24.5
Pascal Siakam,28.0,TOR,PF,71.0,8.9,18.5,0.48,1.3,4.0,0.324,0.523,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,24.2
Jalen Brunson,26.0,NYK,PG,68.0,8.6,17.6,0.491,2.0,4.7,0.416,0.519,0.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,24.0
Paul George,32.0,LAC,SF,56.0,8.2,17.9,0.457,2.8,7.6,0.371,0.521,0.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,23.8
