Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Kawhi Leonard,31.0,LAC,SF,52.0,8.6,16.8,0.512,2.0,4.8,0.416,0.551,0.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,23.8
LaMelo Ball,21.0,CHO,PG,36.0,8.2,20.0,0.411,4.0,10.6,0.376,0.45,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,23.3
Bradley Beal,29.0,WAS,SG,50.0,8.9,17.6,0.506,1.6,4.4,0.365,0.552,0.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,23.2
Kristaps Porziņģis,27.0,WAS,C,65.0,7.8,15.7,0.498,2.1,5.5,0.385,0.559,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,23.2
Jimmy Butler,33.0,MIA,PF,64.0,7.5,13.9,0.539,0.6,1.6,0.35,0.564,0.85,2.2,3.7,5.9,5.3,1.8,0.3,1.6,22.9
Jalen Green,20.0,HOU,SG,76.0,7.4,17.9,0.416,2.5,7.3,0.338,0.471,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,22.1
Keldon Johnson,23.0,SAS,SF,63.0,8.0,17.7,0.452,2.1,6.5,0.329,0.523,0.749,0.9,4.2,5.0,2.9,0.7,0.2,2.1,22.0
Klay Thompson,32.0,GSW,SF,69.0,7.9,18.1,0.436,4.4,10.6,0.412,0.47,0.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,21.9
Bojan Bogdanović,33.0,DET,PF,59.0,7.3,14.9,0.488,2.5,6.0,0.411,0.539,0.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,21.6
Darius Garland,23.0,CLE,PG,69.0,7.6,16.4,0.462,2.4,6.0,0.41,0.492,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,21.6
Desmond Bane,24.0,MEM,SG,58.0,7.8,16.2,0.479,2.9,7.0,0.408,0.534,0.883,0.7,4.3,5.0,4.4,1.0,0.4,2.2,21.5
Kyle Kuzma,27.0,WAS,PF,64.0,8.0,17.8,0.448,2.5,7.5,0.333,0.533,0.73,0.9,6.4,7.2,3.7,0.6,0.5,3.0,21.2
Terry Rozier,28.0,CHO,SG,63.0,7.8,18.9,0.415,2.6,8.0,0.327,0.48,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,21.1
Anfernee Simons,23.0,POR,SG,62.0,7.5,16.9,0.447,3.4,9.1,0.377,0.528,0.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,21.1
James Harden,33.0,PHI,PG,58.0,6.4,14.5,0.441,2.8,7.2,0.385,0.495,0.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,21.0
CJ McCollum,31.0,NOP,PG,75.0,7.8,17.9,0.437,2.8,7.2,0.389,0.469,0.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,20.9
Jordan Clarkson,30.0,UTA,SG,61.0,7.5,16.9,0.444,2.5,7.5,0.338,0.53,0.816,1.2,2.9,4.0,4.4,0.5,0.2,3.0,20.8
Karl-Anthony Towns,27.0,MIN,PF,29.0,7.3,14.8,0.495,2.1,5.7,0.366,0.576,0.874,1.7,6.5,8.1,4.8,0.7,0.6,3.0,20.8
Tyrese Haliburton,22.0,IND,PG,56.0,7.4,15.0,0.49,2.9,7.2,0.4,0.572,0.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,20.7
Jerami Grant,28.0,POR,PF,63.0,6.9,14.5,0.475,2.3,5.7,0.401,0.523,0.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,20.5
Dejounte Murray,26.0,ATL,SG,74.0,8.3,17.8,0.464,1.8,5.2,0.344,0.514,0.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,20.5
Bam Adebayo,25.0,MIA,C,75.0,8.0,14.9,0.54,0.0,0.2,0.083,0.545,0.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,20.4
Jordan Poole,23.0,GSW,PG,82.0,6.7,15.6,0.43,2.6,7.8,0.336,0.524,0.87,0.4,2.4,2.7,4.5,0.8,0.3,3.1,20.4
Tyrese Maxey,22.0,PHI,SG,60.0,7.3,15.2,0.481,2.7,6.2,0.434,0.513,0.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,20.3
Kelly Oubre Jr.,27.0,CHO,SF,48.0,7.4,17.1,0.431,2.3,7.1,0.319,0.51,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,20.3
Mikal Bridges,26.0,2TM,SG,83.0,7.1,15.3,0.468,2.0,5.3,0.382,0.514,0.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,20.1
Mikal Bridges,26.0,PHO,SF,56.0,6.3,13.6,0.463,1.8,4.7,0.387,0.503,0.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,17.2
Mikal Bridges,26.0,BRK,SG,27.0,8.9,18.6,0.475,2.5,6.7,0.376,0.531,0.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,26.1
Tyler Herro,23.0,MIA,SG,67.0,7.3,16.6,0.439,3.0,8.0,0.378,0.497,0.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,20.1
Paolo Banchero,20.0,ORL,PF,72.0,6.7,15.6,0.427,1.2,4.0,0.298,0.471,0.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,20.0
Louis King,23.0,PHI,PF,1.0,8.0,13.0,0.615,4.0,8.0,0.5,0.8,0.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,20.0
Jamal Murray,25.0,DEN,PG,65.0,7.3,16.0,0.454,2.6,6.6,0.398,0.494,0.833,0.7,3.2,4.0,6.2,1.0,0.2,2.2,20.0
Cade Cunningham,21.0,DET,PG,12.0,7.8,18.7,0.415,1.4,5.1,0.279,0.466,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,19.9
RJ Barrett,22.0,NYK,SG,73.0,7.0,16.1,0.434,1.7,5.3,0.31,0.495,0.74,0.8,4.2,5.0,2.8,0.4,0.2,2.2,19.6
Jrue Holiday,32.0,MIL,PG,67.0,7.3,15.3,0.479,2.4,6.1,0.384,0.542,0.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,19.3
Fred VanVleet,28.0,TOR,PG,69.0,6.3,16.1,0.393,3.0,8.8,0.342,0.455,0.898,0.4,3.6,4.1,7.2,1.8,0.6,2.0,19.3
Kevin Porter Jr.,22.0,HOU,PG,59.0,6.6,15.0,0.442,2.4,6.5,0.366,0.501,0.784,1.3,4.0,5.3,5.7,1.4,0.3,3.2,19.2
Domantas Sabonis,26.0,SAC,C,79.0,7.3,11.9,0.615,0.4,1.1,0.373,0.639,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,19.1
Jaren Jackson Jr.,23.0,MEM,C,63.0,6.6,13.0,0.506,1.6,4.5,0.355,0.585,0.788,1.7,5.0,6.8,1.0,1.0,3.0,1.7,18.6
Franz Wagner,21.0,ORL,SF,80.0,6.8,14.0,0.485,1.6,4.5,0.361,0.544,0.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,18.6
Devin Vassell,22.0,SAS,SG,38.0,6.9,15.7,0.439,2.7,7.0,0.387,0.48,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,18.5
Deandre Ayton,24.0,PHO,C,67.0,7.8,13.2,0.589,0.1,0.4,0.292,0.597,0.76,2.6,7.4,10.0,1.7,0.6,0.8,1.8,18.0
Myles Turner,26.0,IND,C,62.0,6.5,11.8,0.548,1.5,4.0,0.373,0.638,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,18.0
D'Angelo Russell,26.0,2TM,PG,71.0,6.3,13.4,0.469,2.7,6.9,0.396,0.548,0.829,0.5,2.5,3.0,6.2,1.0,0.4,2.6,17.8
D'Angelo Russell,26.0,MIN,PG,54.0,6.3,13.5,0.465,2.7,7.0,0.391,0.546,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,17.9
D'Angelo Russell,26.0,LAL,PG,17.0,6.3,13.0,0.484,2.7,6.5,0.414,0.555,0.735,0.4,2.5,2.9,6.1,0.6,0.5,2.3,17.4
Nikola Vučević,32.0,CHI,C,82.0,7.3,14.0,0.52,1.5,4.2,0.349,0.594,0.835,1.9,9.1,11.0,3.2,0.7,0.7,1.7,17.6
Michael Porter Jr.,24.0,DEN,SF,62.0,6.4,13.2,0.487,3.0,7.3,0.414,0.579,0.8,1.0,4.5,5.5,1.0,0.6,0.5,1.1,17.4
Gary Trent Jr.,24.0,TOR,SG,66.0,6.1,14.2,0.433,2.5,6.8,0.369,0.493,0.839,0.5,2.2,2.6,1.6,1.6,0.2,0.8,17.4
Spencer Dinwiddie,29.0,2TM,SG,79.0,5.8,13.3,0.438,2.3,6.2,0.369,0.498,0.812,0.4,3.1,3.4,6.5,0.8,0.3,1.8,17.3
Spencer Dinwiddie,29.0,DAL,SG,53.0,6.0,13.1,0.455,2.6,6.4,0.405,0.504,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,17.7
Spencer Dinwiddie,29.0,BRK,PG,26.0,5.5,13.7,0.404,1.7,5.7,0.289,0.488,0.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,16.5
Andrew Wiggins,27.0,GSW,SF,37.0,6.8,14.3,0.473,2.4,6.1,0.396,0.53,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,17.1
Norman Powell,29.0,LAC,SG,60.0,5.7,11.8,0.479,1.9,4.8,0.397,0.534,0.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,17.0
OG Anunoby,25.0,TOR,SF,67.0,6.3,13.2,0.476,2.1,5.5,0.387,0.539,0.838,1.4,3.5,5.0,2.0,1.9,0.7,2.0,16.8
Buddy Hield,30.0,IND,SF,80.0,5.9,13.0,0.458,3.6,8.5,0.425,0.518,0.822,0.8,4.2,5.0,2.8,1.2,0.3,1.7,16.8
Bennedict Mathurin,20.0,IND,SG,78.0,5.3,12.2,0.434,1.3,4.0,0.323,0.488,0.828,1.1,3.0,4.1,1.5,0.6,0.2,1.9,16.7
Josh Giddey,20.0,OKC,PF,76.0,7.1,14.7,0.482,1.0,3.1,0.325,0.524,0.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,16.6
Christian Wood,27.0,DAL,C,67.0,5.9,11.5,0.515,1.6,4.2,0.376,0.594,0.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,16.6
Aaron Gordon,27.0,DEN,PF,68.0,6.3,11.2,0.564,0.9,2.5,0.347,0.628,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,16.3
Jaden Ivey,20.0,DET,SG,74.0,5.5,13.3,0.416,1.6,4.7,0.343,0.457,0.747,1.0,2.9,3.9,5.2,0.8,0.2,3.2,16.3
Evan Mobley,21.0,CLE,PF,79.0,6.6,12.0,0.554,0.3,1.3,0.216,0.595,0.674,2.4,6.6,9.0,2.8,0.8,1.5,1.8,16.2
RaiQuan Gray,23.0,BRK,PF,1.0,6.0,12.0,0.5,2.0,5.0,0.4,0.571,1.0,3.0,6.0,9.0,7.0,0.0,1.0,4.0,16.0
Brook Lopez,34.0,MIL,C,78.0,6.1,11.5,0.531,1.7,4.7,0.374,0.637,0.784,2.0,4.7,6.7,1.3,0.5,2.5,1.4,15.9
Russell Westbrook,34.0,2TM,PG,73.0,5.9,13.6,0.436,1.2,3.9,0.311,0.487,0.656,1.2,4.6,5.8,7.5,1.0,0.5,3.5,15.9
Russell Westbrook,34.0,LAL,PG,52.0,5.8,14.0,0.417,1.2,4.1,0.296,0.467,0.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,15.9
Russell Westbrook,34.0,LAC,PG,21.0,6.1,12.5,0.489,1.2,3.5,0.356,0.54,0.658,1.4,3.4,4.9,7.6,1.1,0.5,3.4,15.8
P.J. Washington,24.0,CHO,PF,73.0,5.9,13.4,0.444,2.0,5.9,0.348,0.518,0.73,1.0,3.9,4.9,2.4,0.9,1.1,1.5,15.7
Cameron Johnson,26.0,2TM,PF,42.0,5.3,11.3,0.47,2.5,6.1,0.404,0.548,0.842,0.8,3.6,4.4,1.9,1.2,0.3,0.9,15.5
Cameron Johnson,26.0,PHO,PF,17.0,4.8,10.2,0.474,2.6,5.8,0.455,0.5,0.818,0.8,3.0,3.8,1.5,0.9,0.4,0.6,13.9
Cameron Johnson,26.0,BRK,PF,25.0,5.6,12.0,0.468,2.3,6.2,0.372,0.572,0.851,0.8,4.0,4.8,2.1,1.4,0.3,1.1,16.6
De'Andre Hunter,25.0,ATL,SF,67.0,5.7,12.3,0.461,1.5,4.3,0.35,0.521,0.826,0.7,3.6,4.2,1.4,0.5,0.3,1.2,15.4
Scottie Barnes,21.0,TOR,SF,77.0,6.0,13.2,0.456,0.8,2.9,0.281,0.505,0.772,2.3,4.3,6.6,4.8,1.1,0.8,2.0,15.3
Skylar Mays,25.0,POR,PG,6.0,5.7,11.3,0.5,2.0,4.3,0.462,0.524,0.923,0.3,2.8,3.2,8.3,1.0,0.2,1.7,15.3
Wendell Carter Jr.,23.0,ORL,C,57.0,5.6,10.8,0.525,1.4,3.9,0.356,0.624,0.738,2.1,6.6,8.7,2.3,0.5,0.6,1.9,15.2
Kevin Huerter,24.0,SAC,SG,75.0,5.6,11.5,0.485,2.7,6.8,0.402,0.604,0.725,0.6,2.8,3.3,2.9,1.1,0.3,1.3,15.2
Khris Middleton,31.0,MIL,SF,33.0,5.4,12.3,0.436,1.5,4.9,0.315,0.516,0.902,0.8,3.4,4.2,4.9,0.7,0.2,2.2,15.1
Harrison Barnes,30.0,SAC,PF,82.0,4.6,9.6,0.473,1.6,4.3,0.374,0.553,0.847,1.1,3.4,4.5,1.6,0.7,0.1,1.0,15.0
Malcolm Brogdon,30.0,BOS,PG,67.0,5.3,10.9,0.484,2.0,4.4,0.444,0.51,0.87,0.6,3.6,4.2,3.7,0.7,0.3,1.5,14.9
Immanuel Quickley,23.0,NYK,SG,81.0,5.2,11.6,0.448,2.1,5.6,0.37,0.521,0.819,0.7,3.4,4.2,3.4,1.0,0.2,1.2,14.9
Alperen Şengün,20.0,HOU,C,75.0,5.9,10.7,0.553,0.3,0.8,0.333,0.57,0.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,14.8
Tobias Harris,30.0,PHI,SF,74.0,5.7,11.4,0.501,1.7,4.4,0.389,0.57,0.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,14.7
Gordon Hayward,32.0,CHO,SF,50.0,5.5,11.6,0.475,1.0,3.2,0.325,0.532,0.811,0.7,3.6,4.3,4.1,0.8,0.2,2.0,14.7
Trey Murphy III,22.0,NOP,SF,79.0,4.9,10.1,0.484,2.6,6.3,0.406,0.611,0.905,0.7,2.8,3.6,1.4,1.1,0.5,0.8,14.5
Tim Hardaway Jr.,30.0,DAL,SF,71.0,4.8,11.9,0.401,3.0,7.7,0.385,0.431,0.77,0.3,3.2,3.5,1.8,0.7,0.2,0.8,14.4
Jarrett Allen,24.0,CLE,C,68.0,5.9,9.2,0.644,0.0,0.1,0.1,0.653,0.733,3.3,6.5,9.8,1.7,0.8,1.2,1.4,14.3
Dillon Brooks,27.0,MEM,SF,73.0,5.4,13.6,0.396,2.0,6.0,0.326,0.451,0.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,14.3
Collin Sexton,24.0,UTA,PG,48.0,4.9,9.8,0.506,1.0,2.5,0.393,0.546,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,14.3
Bobby Portis,27.0,MIL,PF,70.0,5.7,11.5,0.496,1.4,3.7,0.37,0.555,0.768,2.2,7.4,9.6,1.5,0.4,0.2,1.2,14.1
Jonas Valančiūnas,30.0,NOP,C,79.0,5.6,10.3,0.547,0.5,1.4,0.349,0.577,0.826,2.8,7.3,10.2,1.8,0.3,0.7,2.0,14.1
Jalen Williams,21.0,OKC,SG,75.0,5.5,10.6,0.521,1.0,2.7,0.356,0.579,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,14.1
Bogdan Bogdanović,30.0,ATL,SG,54.0,5.1,11.3,0.447,2.7,6.7,0.406,0.506,0.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,14.0
Markelle Fultz,24.0,ORL,PG,60.0,5.8,11.3,0.514,0.5,1.5,0.31,0.544,0.783,1.2,2.8,3.9,5.7,1.5,0.4,2.3,14.0
Chris Paul,37.0,PHO,PG,59.0,5.0,11.3,0.44,1.7,4.4,0.375,0.482,0.831,0.5,3.8,4.3,8.9,1.5,0.4,1.9,13.9
Saddiq Bey,23.0,2TM,SF,77.0,4.6,10.9,0.422,2.0,5.4,0.361,0.483,0.861,1.3,3.4,4.7,1.5,0.9,0.2,0.9,13.8
Saddiq Bey,23.0,DET,SF,52.0,4.7,11.7,0.404,1.9,5.6,0.345,0.46,0.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,14.8
Saddiq Bey,23.0,ATL,SF,25.0,4.3,9.2,0.47,2.0,5.0,0.4,0.552,0.862,1.6,3.2,4.8,1.4,0.8,0.0,0.7,11.6
Luguentz Dort,23.0,OKC,SF,74.0,4.6,11.8,0.388,1.8,5.5,0.33,0.44,0.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,13.7
Malik Monk,24.0,SAC,SG,77.0,4.6,10.3,0.448,1.9,5.2,0.359,0.538,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,13.5
Rudy Gobert,30.0,MIN,C,70.0,5.1,7.8,0.659,0.0,0.0,0.0,0.663,0.644,3.3,8.3,11.6,1.2,0.8,1.4,1.7,13.4
Jusuf Nurkić,28.0,POR,C,52.0,5.0,9.7,0.519,0.8,2.3,0.361,0.567,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,13.3
Kris Dunn,28.0,UTA,PG,22.0,5.3,9.8,0.537,0.8,1.6,0.472,0.55,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,13.2
John Collins,25.0,ATL,PF,71.0,5.1,10.0,0.508,1.0,3.4,0.292,0.619,0.803,1.1,5.4,6.5,1.2,0.6,1.0,1.1,13.1
Cole Anthony,22.0,ORL,PG,60.0,4.6,10.2,0.454,1.3,3.4,0.364,0.5,0.894,0.8,4.0,4.8,3.9,0.6,0.5,1.5,13.0
Austin Reaves,24.0,LAL,SG,64.0,4.0,7.7,0.529,1.3,3.4,0.398,0.631,0.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,13.0
Tre Jones,23.0,SAS,PG,68.0,5.0,10.9,0.459,0.7,2.3,0.285,0.506,0.86,0.8,2.8,3.6,6.6,1.3,0.1,1.6,12.9
Alec Burks,31.0,DET,SG,51.0,3.9,9.0,0.436,1.9,4.7,0.414,0.459,0.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,12.8
Jabari Smith Jr.,19.0,HOU,PF,79.0,4.6,11.3,0.408,1.5,4.9,0.307,0.487,0.786,1.5,5.7,7.2,1.3,0.5,0.9,1.3,12.8
Malik Beasley,26.0,2TM,SG,81.0,4.6,11.6,0.395,2.9,8.1,0.357,0.484,0.769,0.4,3.1,3.5,1.5,0.8,0.1,1.1,12.7
Malik Beasley,26.0,UTA,SG,55.0,4.8,12.2,0.396,3.1,8.6,0.359,0.485,0.841,0.5,3.1,3.6,1.7,0.8,0.1,1.1,13.4
Malik Beasley,26.0,LAL,SG,26.0,4.0,10.3,0.392,2.5,7.2,0.353,0.481,0.619,0.3,3.0,3.3,1.2,0.8,0.0,1.2,11.1
KJ Martin,22.0,HOU,SF,82.0,5.0,8.8,0.569,0.8,2.6,0.315,0.679,0.68,1.5,4.0,5.5,1.5,0.5,0.4,1.1,12.7
Nic Claxton,23.0,BRK,C,76.0,5.4,7.7,0.705,0.0,0.0,0.0,0.708,0.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,12.6
Dennis Schröder,29.0,LAL,PG,66.0,4.1,9.8,0.415,1.1,3.4,0.329,0.461,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,12.6
Jakob Poeltl,27.0,2TM,C,72.0,5.4,8.6,0.629,0.0,0.0,0.0,0.63,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,12.5
Jakob Poeltl,27.0,SAS,C,46.0,5.2,8.4,0.616,0.0,0.0,0.0,0.618,0.605,3.3,5.7,9.0,3.1,0.8,1.1,2.1,12.1
Jakob Poeltl,27.0,TOR,C,26.0,5.8,8.8,0.652,0.0,0.0,0.0,0.652,0.569,3.2,5.9,9.1,2.2,1.2,1.3,1.1,13.1
Mac McClung,24.0,PHI,SG,2.0,4.5,10.0,0.45,2.0,5.5,0.364,0.556,0.6,1.5,3.5,5.0,4.5,0.0,0.0,1.5,12.5
Kelly Olynyk,31.0,UTA,C,68.0,4.1,8.2,0.499,1.4,3.5,0.394,0.576,0.853,1.2,5.0,6.2,3.7,0.9,0.5,2.5,12.5
Eric Gordon,34.0,2TM,SG,69.0,4.2,9.5,0.446,1.9,5.2,0.371,0.535,0.821,0.2,1.7,1.9,2.7,0.6,0.4,1.5,12.4
Eric Gordon,34.0,HOU,SG,47.0,4.5,10.2,0.439,1.8,5.2,0.347,0.536,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,13.1
Eric Gordon,34.0,LAC,SG,22.0,3.7,8.0,0.463,2.1,5.0,0.423,0.531,0.842,0.2,1.5,1.7,2.1,0.6,0.4,1.0,11.0
Derrick White,28.0,BOS,SG,82.0,4.3,9.2,0.462,1.8,4.8,0.381,0.548,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,12.4
Keegan Murray,22.0,SAC,SF,80.0,4.4,9.8,0.453,2.6,6.3,0.411,0.527,0.765,1.1,3.5,4.6,1.2,0.8,0.5,0.8,12.2
Caris LeVert,28.0,CLE,SG,74.0,4.3,10.0,0.431,1.7,4.4,0.392,0.462,0.722,0.7,3.1,3.8,3.9,1.0,0.3,1.6,12.1
