Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Patty Mills,35.0,ATL,PG,19.0,1.0,2.7,0.373,0.7,1.8,0.382,0.353,0.0,0.3,0.8,1.1,0.7,0.5,0.1,0.4,2.7
Patty Mills,35.0,MIA,PG,13.0,2.1,6.2,0.338,0.8,4.1,0.208,0.593,1.0,0.3,0.8,1.2,1.5,0.8,0.0,0.6,5.8
Izaiah Brockington,24.0,NOP,PG,1.0,2.0,5.0,0.4,0.0,1.0,0.0,0.5,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0
Ousmane Dieng,20.0,OKC,PF,33.0,1.5,3.5,0.422,0.6,2.1,0.3,0.609,0.875,0.3,1.2,1.5,1.1,0.2,0.2,0.6,4.0
Luka Garza,25.0,MIN,C,25.0,1.4,3.0,0.48,0.4,1.3,0.281,0.628,0.72,0.8,0.5,1.2,0.2,0.2,0.0,0.2,4.0
Mouhamed Gueye,21.0,ATL,PF,6.0,1.3,3.8,0.348,0.5,1.5,0.333,0.357,0.833,1.7,2.0,3.7,0.7,0.8,0.7,0.2,4.0
Justin Holiday,34.0,DEN,SG,58.0,1.5,3.3,0.454,0.9,2.3,0.404,0.569,0.75,0.2,1.1,1.2,1.2,0.6,0.2,0.2,4.0
Matthew Hurt,23.0,MEM,PF,8.0,1.5,4.3,0.353,0.6,2.5,0.25,0.5,1.0,1.1,0.9,2.0,0.5,0.4,0.4,0.3,4.0
JaVale McGee,36.0,SAC,C,46.0,1.7,2.9,0.598,0.0,0.2,0.143,0.624,0.578,0.9,1.8,2.7,0.4,0.3,0.4,0.7,4.0
Svi Mykhailiuk,26.0,BOS,SF,41.0,1.4,3.3,0.416,1.0,2.6,0.389,0.517,0.667,0.3,1.0,1.2,0.9,0.3,0.0,0.3,4.0
Rayan Rupert,19.0,POR,SG,39.0,1.4,4.1,0.335,0.7,2.0,0.359,0.313,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,4.0
Adama Sanogo,21.0,CHI,PF,9.0,1.6,3.0,0.519,0.0,0.0,0.0,0.519,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,4.0
Jaylin Williams,21.0,OKC,C,69.0,1.4,3.3,0.417,0.8,2.1,0.368,0.5,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,4.0
Jules Bernard,24.0,WAS,SG,19.0,1.5,3.4,0.453,0.6,1.5,0.379,0.514,0.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,3.9
Chris Duarte,26.0,SAC,SF,59.0,1.4,3.6,0.381,0.7,2.2,0.346,0.434,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,3.9
DeAndre Jordan,35.0,DEN,C,36.0,1.6,2.6,0.624,0.0,0.0,0.0,0.624,0.491,1.5,2.9,4.4,0.7,0.2,0.4,0.6,3.9
Sidy Cissoko,19.0,SAS,SF,12.0,1.3,2.8,0.485,0.1,1.0,0.083,0.714,0.8,0.7,1.2,1.8,0.8,0.6,0.3,0.3,3.8
Anthony Gill,31.0,WAS,PF,50.0,1.5,3.2,0.469,0.2,0.8,0.244,0.546,0.806,0.7,1.1,1.9,0.7,0.3,0.2,0.5,3.8
KJ Martin,23.0,2TM,SF,60.0,1.6,3.0,0.536,0.1,0.5,0.286,0.582,0.537,0.7,1.5,2.2,0.9,0.4,0.2,0.5,3.7
KJ Martin,23.0,LAC,SF,2.0,2.0,5.0,0.4,0.5,2.5,0.2,0.6,0.5,0.5,1.0,1.5,0.5,1.0,0.5,1.0,5.0
KJ Martin,23.0,PHI,SF,58.0,1.6,2.9,0.544,0.1,0.4,0.304,0.581,0.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,3.7
Keita Bates-Diop,28.0,2TM,SF,53.0,1.4,3.1,0.434,0.4,1.3,0.304,0.526,0.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,3.7
Keita Bates-Diop,28.0,PHO,SF,39.0,1.6,3.8,0.427,0.5,1.6,0.313,0.512,0.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,4.5
Keita Bates-Diop,28.0,BRK,SF,14.0,0.6,1.1,0.5,0.1,0.4,0.2,0.636,1.0,0.1,0.6,0.6,0.3,0.2,0.1,0.1,1.6
Oshae Brissett,25.0,BOS,SF,55.0,1.2,2.8,0.444,0.3,1.0,0.273,0.541,0.602,1.1,1.8,2.9,0.8,0.3,0.1,0.4,3.7
Jamal Cain,24.0,MIA,PF,26.0,1.3,3.0,0.43,0.4,1.2,0.355,0.479,0.783,0.6,0.8,1.4,0.4,0.4,0.2,0.3,3.7
Drew Peterson,24.0,BOS,PF,3.0,1.3,2.0,0.667,1.0,1.7,0.6,1.0,0.0,0.0,0.3,0.3,0.3,0.7,0.0,0.3,3.7
T.J. Warren,30.0,MIN,SF,11.0,1.6,3.7,0.439,0.2,1.2,0.154,0.571,0.75,0.5,1.5,2.0,0.8,0.4,0.1,0.4,3.7
James Bouknight,23.0,CHO,SG,14.0,1.3,2.9,0.439,0.9,2.1,0.433,0.455,0.5,0.1,0.6,0.6,0.4,0.1,0.1,0.1,3.6
Collin Gillespie,24.0,DEN,PG,24.0,1.3,2.9,0.464,0.6,1.6,0.395,0.548,0.667,0.0,0.8,0.9,1.1,0.5,0.0,0.6,3.6
Gui Santos,21.0,GSW,PF,23.0,1.2,2.4,0.509,0.4,1.2,0.37,0.643,0.941,0.7,1.4,2.1,0.6,0.2,0.1,0.3,3.6
Jarace Walker,20.0,IND,PF,33.0,1.4,3.3,0.409,0.7,1.7,0.4,0.418,0.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,3.6
Lindy Waters III,26.0,OKC,SG,38.0,1.3,2.7,0.471,1.0,2.2,0.435,0.632,1.0,0.2,0.9,1.1,0.6,0.1,0.2,0.2,3.6
Théo Maledon,22.0,2TM,PG,17.0,1.2,4.1,0.286,0.3,1.8,0.167,0.375,0.933,0.2,1.2,1.4,1.6,0.4,0.0,1.1,3.5
Théo Maledon,22.0,CHO,PG,13.0,1.5,5.1,0.288,0.4,2.3,0.167,0.389,0.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,4.2
Théo Maledon,22.0,PHO,PG,4.0,0.3,1.0,0.25,0.0,0.0,0.0,0.25,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.8,1.3
