Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Stephen Curry,32.0,GSW,PG,63.0,10.4,21.7,0.482,5.3,12.7,0.421,0.569,0.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,32.0
Bradley Beal,27.0,WAS,SG,60.0,11.2,23.0,0.485,2.2,6.2,0.349,0.535,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,31.3
Damian Lillard,30.0,POR,PG,67.0,9.0,19.9,0.451,4.1,10.5,0.391,0.519,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3.0,28.8
Joel Embiid,26.0,PHI,C,51.0,9.0,17.6,0.513,1.1,3.0,0.377,0.541,0.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,28.5
Giannis Antetokounmpo,26.0,MIL,PF,61.0,10.3,18.0,0.569,1.1,3.6,0.303,0.636,0.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,28.1
Luka Dončić,21.0,DAL,PG,66.0,9.8,20.5,0.479,2.9,8.3,0.35,0.567,0.73,0.8,7.2,8.0,8.6,1.0,0.5,4.3,27.7
Zach LaVine,25.0,CHI,SG,58.0,9.8,19.4,0.507,3.4,8.2,0.419,0.571,0.849,0.6,4.4,5.0,4.9,0.8,0.5,3.5,27.4
Zion Williamson,20.0,NOP,PF,61.0,10.4,17.0,0.611,0.2,0.6,0.294,0.622,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,27.0
Kevin Durant,32.0,BRK,PF,35.0,9.3,17.2,0.537,2.4,5.4,0.45,0.577,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,26.9
Kyrie Irving,28.0,BRK,PG,54.0,10.2,20.1,0.506,2.8,7.0,0.402,0.561,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,26.9
Nikola Jokić,25.0,DEN,C,72.0,10.2,18.0,0.566,1.3,3.3,0.388,0.606,0.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,26.4
Donovan Mitchell,24.0,UTA,PG,53.0,9.0,20.6,0.438,3.4,8.7,0.386,0.476,0.845,0.9,3.5,4.4,5.2,1.0,0.3,2.8,26.4
Jayson Tatum,22.0,BOS,SF,64.0,9.5,20.6,0.459,2.9,7.6,0.386,0.502,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,26.4
Devin Booker,24.0,PHO,SG,67.0,9.3,19.2,0.484,1.9,5.5,0.34,0.543,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,25.6
Trae Young,22.0,ATL,PG,63.0,7.7,17.7,0.438,2.2,6.3,0.343,0.491,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,25.3
De'Aaron Fox,23.0,SAC,PG,58.0,9.1,19.1,0.477,1.8,5.5,0.322,0.539,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3.0,25.2
LeBron James,36.0,LAL,PG,45.0,9.4,18.3,0.513,2.3,6.3,0.365,0.591,0.698,0.6,7.0,7.7,7.8,1.1,0.6,3.7,25.0
Kawhi Leonard,29.0,LAC,SF,52.0,8.9,17.5,0.512,1.9,4.9,0.398,0.557,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,24.8
Karl-Anthony Towns,25.0,MIN,C,50.0,8.5,17.5,0.486,2.4,6.3,0.387,0.541,0.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,24.8
Jaylen Brown,24.0,BOS,SG,58.0,9.3,19.2,0.484,2.8,7.1,0.397,0.536,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,24.7
James Harden,31.0,2TM,PG,44.0,7.8,16.7,0.466,2.8,7.6,0.362,0.553,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4.0,24.6
James Harden,31.0,HOU,PG,8.0,7.5,16.9,0.444,3.1,9.0,0.347,0.556,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,24.8
James Harden,31.0,BRK,PG,36.0,7.8,16.6,0.471,2.7,7.3,0.366,0.552,0.856,0.8,7.7,8.5,10.9,1.3,0.8,4.0,24.6
Collin Sexton,22.0,CLE,SG,60.0,8.8,18.4,0.475,1.6,4.4,0.371,0.508,0.815,1.0,2.2,3.1,4.4,1.0,0.2,2.8,24.3
Julius Randle,26.0,NYK,PF,71.0,8.5,18.6,0.456,2.3,5.5,0.411,0.474,0.811,1.2,9.0,10.2,6.0,0.9,0.3,3.4,24.1
Brandon Ingram,23.0,NOP,SF,61.0,8.4,18.0,0.466,2.3,6.1,0.381,0.51,0.878,0.6,4.3,4.9,4.9,0.7,0.6,2.5,23.8
Shai Gilgeous-Alexander,22.0,OKC,SG,35.0,8.2,16.1,0.508,2.0,4.9,0.418,0.547,0.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,23.7
Nikola Vučević,30.0,2TM,C,70.0,9.5,19.9,0.477,2.5,6.3,0.4,0.513,0.84,2.1,9.6,11.7,3.8,0.9,0.7,1.8,23.4
Nikola Vučević,30.0,ORL,C,44.0,9.9,20.6,0.48,2.7,6.5,0.406,0.515,0.827,2.0,9.8,11.8,3.8,1.0,0.6,1.9,24.5
Nikola Vučević,30.0,CHI,C,26.0,8.8,18.8,0.471,2.3,5.8,0.388,0.509,0.87,2.3,9.3,11.5,3.9,0.9,0.8,1.7,21.5
Paul George,30.0,LAC,SF,54.0,8.2,17.6,0.467,3.2,7.7,0.411,0.51,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,23.3
CJ McCollum,29.0,POR,SG,47.0,8.6,18.8,0.458,3.6,8.9,0.402,0.509,0.812,0.6,3.3,3.9,4.7,0.9,0.4,1.4,23.1
Jerami Grant,26.0,DET,SF,54.0,7.4,17.3,0.429,2.1,6.1,0.35,0.473,0.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,22.3
Russell Westbrook,32.0,WAS,PG,65.0,8.4,19.0,0.439,1.3,4.2,0.315,0.475,0.656,1.7,9.9,11.5,11.7,1.4,0.4,4.8,22.2
Anthony Davis,27.0,LAL,PF,36.0,8.4,17.0,0.491,0.7,2.8,0.26,0.536,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,21.8
DeMar DeRozan,31.0,SAS,PF,61.0,7.5,15.1,0.495,0.3,1.2,0.257,0.515,0.88,0.7,3.6,4.2,6.9,0.9,0.2,2.0,21.6
Jimmy Butler,31.0,MIA,SF,52.0,7.0,14.2,0.497,0.5,2.0,0.245,0.538,0.863,1.8,5.1,6.9,7.1,2.1,0.3,2.1,21.5
Pascal Siakam,26.0,TOR,PF,56.0,7.8,17.2,0.455,1.3,4.4,0.297,0.509,0.827,1.7,5.5,7.2,4.5,1.1,0.7,2.3,21.4
Malcolm Brogdon,28.0,IND,PG,56.0,7.9,17.5,0.453,2.6,6.7,0.388,0.493,0.864,1.0,4.2,5.3,5.9,0.9,0.3,2.1,21.2
Jamal Murray,23.0,DEN,PG,48.0,7.9,16.5,0.477,2.7,6.6,0.408,0.523,0.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,21.2
Christian Wood,25.0,HOU,C,41.0,8.0,15.6,0.514,1.9,5.0,0.374,0.581,0.631,1.9,7.8,9.6,1.7,0.8,1.2,2.0,21.0
John Wall,30.0,HOU,PG,40.0,7.3,18.2,0.404,2.0,6.2,0.317,0.449,0.749,0.4,2.8,3.2,6.9,1.1,0.8,3.5,20.6
Khris Middleton,29.0,MIL,SF,68.0,7.5,15.8,0.476,2.2,5.4,0.414,0.508,0.898,0.8,5.2,6.0,5.4,1.1,0.1,2.6,20.4
Terry Rozier,26.0,CHO,SG,69.0,7.4,16.4,0.45,3.2,8.3,0.389,0.512,0.817,0.7,3.7,4.4,4.2,1.3,0.4,1.9,20.4
Domantas Sabonis,24.0,IND,PF,62.0,7.8,14.6,0.535,0.8,2.6,0.321,0.582,0.732,2.4,9.5,12.0,6.7,1.2,0.5,3.4,20.3
Caris LeVert,26.0,2TM,SG,47.0,7.6,17.3,0.441,1.8,5.5,0.326,0.495,0.811,0.7,3.9,4.6,5.2,1.4,0.6,2.2,20.2
Caris LeVert,26.0,BRK,SG,12.0,7.3,16.7,0.435,1.8,5.3,0.349,0.474,0.765,0.8,3.5,4.3,6.0,1.1,0.5,2.2,18.5
Caris LeVert,26.0,IND,SG,35.0,7.8,17.5,0.443,1.8,5.6,0.318,0.501,0.822,0.7,4.0,4.6,4.9,1.5,0.7,2.2,20.7
Kristaps Porziņģis,25.0,DAL,C,43.0,7.6,15.9,0.476,2.3,6.0,0.376,0.536,0.855,1.9,7.0,8.9,1.6,0.5,1.3,1.2,20.1
Victor Oladipo,28.0,3TM,SG,33.0,7.1,17.5,0.408,2.4,7.2,0.326,0.466,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,19.8
Victor Oladipo,28.0,IND,SG,9.0,7.1,16.9,0.421,2.8,7.7,0.362,0.47,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2.0,20.0
Victor Oladipo,28.0,HOU,SG,20.0,7.8,19.1,0.407,2.5,7.7,0.32,0.465,0.783,0.4,4.4,4.8,5.0,1.2,0.5,2.6,21.2
Victor Oladipo,28.0,MIA,SG,4.0,4.0,10.8,0.372,1.0,4.3,0.235,0.462,0.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,12.0
Malik Beasley,24.0,MIN,SG,37.0,7.1,16.2,0.44,3.5,8.7,0.399,0.487,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,19.6
Gordon Hayward,30.0,CHO,SF,44.0,7.1,15.0,0.473,1.9,4.7,0.415,0.499,0.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,19.6
Fred VanVleet,26.0,TOR,SG,52.0,6.5,16.7,0.389,3.3,9.2,0.366,0.416,0.885,0.6,3.6,4.2,6.3,1.7,0.7,1.8,19.6
Tobias Harris,28.0,PHI,PF,62.0,7.6,14.9,0.512,1.3,3.4,0.394,0.546,0.892,1.0,5.8,6.8,3.5,0.9,0.8,1.7,19.5
Anthony Edwards,19.0,MIN,SG,72.0,7.0,16.8,0.417,2.4,7.2,0.329,0.483,0.776,0.8,3.8,4.7,2.9,1.1,0.5,2.2,19.3
Kemba Walker,30.0,BOS,PG,43.0,6.6,15.7,0.42,3.0,8.2,0.36,0.486,0.899,0.4,3.6,4.0,4.9,1.1,0.3,2.0,19.3
Ja Morant,21.0,MEM,PG,63.0,6.8,15.2,0.449,1.2,3.8,0.303,0.499,0.728,0.9,3.1,4.0,7.4,0.9,0.2,3.2,19.1
Michael Porter Jr.,22.0,DEN,SF,61.0,7.3,13.4,0.542,2.8,6.3,0.445,0.628,0.791,1.5,5.8,7.3,1.1,0.7,0.9,1.3,19.0
D'Angelo Russell,24.0,MIN,PG,42.0,6.7,15.5,0.431,2.9,7.4,0.387,0.471,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,19.0
Bam Adebayo,23.0,MIA,C,64.0,7.1,12.5,0.57,0.0,0.1,0.25,0.573,0.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,18.7
Norman Powell,27.0,2TM,SF,69.0,6.3,13.3,0.477,2.5,6.0,0.411,0.532,0.871,0.6,2.5,3.1,1.9,1.2,0.3,1.7,18.6
Norman Powell,27.0,TOR,SG,42.0,6.7,13.5,0.498,2.8,6.4,0.439,0.552,0.865,0.5,2.5,3.0,1.8,1.1,0.2,1.8,19.6
Norman Powell,27.0,POR,SF,27.0,5.8,13.0,0.443,2.0,5.4,0.361,0.502,0.88,0.9,2.4,3.3,1.9,1.3,0.4,1.6,17.0
Andrew Wiggins,25.0,GSW,PF,71.0,7.1,14.9,0.477,2.0,5.2,0.38,0.529,0.714,1.2,3.7,4.9,2.4,0.9,1.0,1.8,18.6
Jordan Clarkson,28.0,UTA,SG,68.0,6.7,15.8,0.425,3.1,8.8,0.347,0.523,0.896,0.7,3.3,4.0,2.5,0.9,0.1,1.7,18.4
Eric Gordon,32.0,HOU,SG,27.0,5.9,13.6,0.433,2.6,7.8,0.329,0.573,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,17.8
Jrue Holiday,30.0,MIL,PG,59.0,7.0,13.9,0.503,1.9,4.8,0.392,0.561,0.787,1.2,3.3,4.5,6.1,1.6,0.6,2.2,17.7
RJ Barrett,20.0,NYK,SG,72.0,6.5,14.7,0.441,1.7,4.3,0.401,0.457,0.746,0.9,4.8,5.8,3.0,0.7,0.3,1.9,17.6
John Collins,23.0,ATL,PF,63.0,6.8,12.2,0.556,1.3,3.3,0.399,0.615,0.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,17.6
Darius Garland,21.0,CLE,PG,54.0,6.7,14.9,0.451,1.9,4.9,0.395,0.479,0.848,0.4,2.0,2.4,6.1,1.2,0.1,3.0,17.4
Dillon Brooks,25.0,MEM,SF,67.0,6.4,15.4,0.419,1.9,5.6,0.344,0.461,0.815,0.8,2.1,2.9,2.3,1.2,0.4,1.8,17.2
Kyle Lowry,34.0,TOR,PG,46.0,5.7,13.0,0.436,2.8,7.2,0.396,0.487,0.875,0.8,4.6,5.4,7.3,1.0,0.3,2.7,17.2
Evan Fournier,28.0,2TM,SF,42.0,5.9,12.9,0.457,2.8,6.7,0.413,0.504,0.788,0.2,2.8,3.0,3.4,1.1,0.5,1.7,17.1
Evan Fournier,28.0,ORL,SF,26.0,6.5,14.2,0.461,2.8,7.2,0.388,0.536,0.797,0.2,2.7,2.9,3.7,1.0,0.3,2.1,19.7
Evan Fournier,28.0,BOS,SF,16.0,4.8,10.8,0.448,2.8,5.9,0.463,0.429,0.714,0.3,3.0,3.3,3.1,1.3,0.6,1.2,13.0
Jonas Valančiūnas,28.0,MEM,C,62.0,7.1,12.0,0.592,0.3,0.9,0.368,0.611,0.773,4.1,8.4,12.5,1.8,0.6,0.9,1.6,17.1
Bojan Bogdanović,31.0,UTA,SF,72.0,5.6,12.8,0.439,2.5,6.4,0.39,0.487,0.879,0.6,3.3,3.9,1.9,0.6,0.1,1.8,17.0
Tim Hardaway Jr.,28.0,DAL,SG,70.0,5.8,13.0,0.447,3.0,7.6,0.391,0.524,0.816,0.3,3.0,3.3,1.8,0.4,0.2,0.9,16.6
Buddy Hield,28.0,SAC,SG,71.0,5.7,14.0,0.406,4.0,10.2,0.391,0.446,0.846,0.4,4.3,4.7,3.6,0.9,0.4,1.8,16.6
Kevin Porter Jr.,20.0,HOU,SG,26.0,6.0,14.1,0.425,1.9,6.2,0.311,0.515,0.734,0.8,3.0,3.8,6.3,0.7,0.3,3.5,16.6
Bogdan Bogdanović,28.0,ATL,SG,44.0,6.1,12.8,0.473,3.3,7.6,0.438,0.522,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,16.4
Chris Paul,35.0,PHO,PG,70.0,6.3,12.6,0.499,1.5,3.7,0.395,0.543,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,16.4
Khyri Thomas,24.0,HOU,SG,5.0,6.4,13.2,0.485,1.8,5.4,0.333,0.59,1.0,1.4,2.2,3.6,5.0,1.8,1.2,1.2,16.4
Mike Conley,33.0,UTA,PG,51.0,5.6,12.5,0.444,2.7,6.6,0.412,0.479,0.852,0.7,2.8,3.5,6.0,1.4,0.2,1.9,16.2
Harrison Barnes,28.0,SAC,PF,58.0,5.5,11.1,0.497,1.7,4.4,0.391,0.567,0.83,1.1,5.5,6.6,3.5,0.7,0.2,1.6,16.1
Elijah Bryant,25.0,MIL,SG,1.0,6.0,13.0,0.462,1.0,5.0,0.2,0.625,1.0,2.0,4.0,6.0,3.0,0.0,1.0,4.0,16.0
OG Anunoby,23.0,TOR,SF,43.0,5.8,12.1,0.48,2.4,6.1,0.398,0.562,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,15.9
LaMelo Ball,19.0,CHO,PG,51.0,5.7,13.2,0.436,1.8,5.1,0.352,0.489,0.758,1.2,4.7,5.9,6.1,1.6,0.4,2.8,15.7
Dejounte Murray,24.0,SAS,PG,67.0,6.6,14.5,0.453,0.9,3.0,0.317,0.488,0.791,0.9,6.2,7.1,5.4,1.5,0.1,1.7,15.7
