Player,Team,Pos,Age,G,FG,FGA,3P,3PA,3P%,2P%,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PTS
Jordan Nwora,"IND, TOR, MIL, 2TM",SF,24.0,40.0,2.9,6.4,1.1,3.0,0.376,0.495,0.806,0.6,2.5,3.2,1.2,0.4,0.2,1.0,7.7
Jordan Poole,"GSW, WAS","SG, PG",22.0,72.0,5.8,13.5,2.4,7.0,0.344,0.528,0.889,0.4,2.3,2.6,3.7,0.8,0.3,2.2,17.1
Jordan Schakel,WAS,"SF, SG",24.0,3.0,0.4,1.9,0.4,1.0,0.584,0.0,0.5,0.2,0.8,1.0,0.2,0.4,0.0,0.2,1.4
Jordan Walsh,BOS,SF,19.0,9.0,0.7,1.7,0.2,1.0,0.222,0.667,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.3,1.7
Jose Alvarado,NOP,PG,24.0,57.0,2.7,6.5,1.1,3.2,0.335,0.497,0.722,0.5,1.7,2.2,2.6,1.2,0.2,0.9,7.4
Josh Christopher,HOU,SG,20.0,69.0,2.7,5.9,0.6,2.0,0.266,0.545,0.742,0.5,1.3,1.8,1.6,0.7,0.2,1.2,6.8
Josh Giddey,OKC,"SG, SF, PF",20.0,70.0,5.8,12.6,1.0,3.3,0.308,0.515,0.749,1.7,5.6,7.4,5.8,0.8,0.5,2.7,13.8
Josh Green,DAL,SG,22.0,56.0,2.4,4.8,0.7,2.0,0.326,0.587,0.665,0.8,1.9,2.6,1.5,0.6,0.2,0.8,6.2
Josh Hall,OKC,SF,20.0,21.0,1.4,4.7,0.2,1.8,0.108,0.419,0.5,0.3,2.5,2.8,1.3,0.2,0.0,1.2,4.1
Josh Hart,"NYK, NOP, 2TM, POR","SF, SG",26.0,48.0,4.4,8.7,1.2,3.4,0.359,0.59,0.765,1.4,6.0,7.5,3.8,1.1,0.3,1.7,12.0
Josh Jackson,"SAC, DET, 2TM","SF, SG",24.0,41.0,2.8,7.0,0.7,2.7,0.249,0.492,0.718,0.5,2.4,2.9,1.3,0.6,0.5,1.2,7.8
Josh Minott,MIN,SF,20.0,24.0,0.8,1.8,0.1,0.4,0.367,0.516,0.928,0.2,0.8,1.1,0.3,0.2,0.3,0.2,2.4
Josh Okogie,"PHO, MIN",SG,24.0,60.0,1.6,3.9,0.6,1.8,0.303,0.486,0.731,1.1,1.4,2.5,1.0,0.8,0.4,0.7,5.0
Josh Richardson,"SAS, 2TM, BOS, MIA, NOP, DAL",SG,28.0,45.0,3.7,8.5,1.6,4.2,0.38,0.489,0.882,0.6,2.2,2.8,2.3,1.0,0.4,1.1,10.3
Joshua Primo,"SAS, LAC","SF, SG",20.0,19.0,1.6,4.5,0.5,2.1,0.186,0.458,0.508,0.5,1.5,2.0,2.0,0.2,0.5,2.0,4.6
Jrue Holiday,"BOS, MIL",PG,32.0,66.0,6.6,13.4,2.1,5.1,0.404,0.544,0.81,1.2,3.7,4.9,6.3,1.3,0.6,2.4,17.0
Juan Toscano-Anderson,"2TM, GSW, LAL, UTA, SAC","SF, SG",29.0,40.0,1.3,2.8,0.3,1.0,0.256,0.541,0.616,0.5,2.1,2.6,1.5,0.4,0.2,0.7,3.2
Juancho Hernangómez,"SAS, BOS, 3TM, MIN, TOR, UTA",PF,26.0,29.0,1.3,3.0,0.6,1.8,0.256,0.55,0.606,0.7,2.2,2.9,0.6,0.4,0.2,0.4,3.7
Jules Bernard,WAS,SG,24.0,19.0,1.5,3.4,0.6,1.5,0.379,0.514,0.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,3.9
Julian Champagnie,"SAS, PHI, 2TM",SF,21.0,27.0,2.4,5.6,1.4,3.6,0.294,0.4,0.616,0.5,2.1,2.6,0.7,0.4,0.3,0.5,6.9
Julian Phillips,CHI,SF,20.0,40.0,0.8,1.9,0.3,1.0,0.316,0.513,0.684,0.3,0.6,0.9,0.3,0.2,0.2,0.3,2.2
Julian Strawther,DEN,SF,21.0,50.0,1.6,4.4,0.8,2.8,0.297,0.488,0.71,0.1,1.1,1.2,0.9,0.3,0.1,0.5,4.5
Julius Randle,NYK,PF,28.0,66.0,8.2,18.2,2.1,6.1,0.343,0.506,0.776,1.7,8.1,9.8,5.0,0.7,0.4,3.3,23.3
Justin Anderson,"IND, CLE, 2TM",SF,28.0,11.0,2.0,5.1,0.9,3.3,0.277,0.714,0.78,0.2,2.5,2.7,2.1,0.4,0.3,0.6,5.8
Justin Champagnie,"BOS, TOR, WAS, 2TM",SF,21.0,12.0,1.2,3.4,0.4,1.5,0.209,0.531,0.36,0.8,1.3,2.1,0.8,0.3,0.1,0.2,3.0
Justin Holiday,"IND, 2TM, DEN, ATL, DAL, SAC","SF, SG",32.0,46.0,2.5,6.5,1.7,4.6,0.353,0.494,0.648,0.3,1.8,2.0,1.3,0.7,0.4,0.6,7.2
Justin Jackson,"2TM, BOS, MIL, PHO, MIN, OKC",SF,26.0,13.0,1.2,3.6,0.6,2.1,0.233,0.297,0.587,0.4,1.3,1.7,0.6,0.1,0.0,0.4,3.8
Justin James,SAC,SF,24.0,36.0,1.4,3.1,0.4,1.1,0.368,0.521,0.583,0.3,0.6,0.8,0.6,0.2,0.1,0.4,3.9
Justin Minaya,POR,SF,24.0,19.0,1.2,4.0,0.6,2.2,0.248,0.382,0.278,0.8,1.9,2.7,0.8,0.4,0.8,0.6,3.0
Justin Patton,HOU,C,23.0,13.0,2.2,5.4,0.7,2.6,0.265,0.556,0.75,1.1,2.7,3.8,1.1,0.9,1.1,0.3,5.4
Justin Robinson,"DET, MIL, 3TM, OKC, SAC",PG,24.0,12.0,1.0,3.5,0.7,2.3,0.246,0.297,0.487,0.2,0.7,0.8,1.2,0.3,0.0,0.6,2.9
Justise Winslow,"LAC, POR, 2TM, MEM","SF, PF",25.0,30.0,2.8,6.9,0.4,1.9,0.233,0.466,0.609,1.2,3.5,4.7,2.3,0.8,0.5,1.2,6.8
Jusuf Nurkić,"POR, PHO",C,28.0,55.0,4.9,9.4,0.4,1.3,0.318,0.552,0.652,2.6,7.4,10.0,3.3,1.0,0.9,2.3,12.7
Juwan Morgan,"BOS, UTA, TOR, 2TM",PF,24.0,8.0,0.9,1.4,0.4,0.8,0.327,0.647,0.107,0.8,0.9,1.8,0.4,0.0,0.0,0.0,2.2
KJ Martin,"HOU, PHI, LAC, 2TM",SF,22.0,54.0,2.9,5.6,0.5,1.7,0.304,0.605,0.6,1.0,2.4,3.4,1.0,0.5,0.4,0.8,7.2
KZ Okpala,"MIA, SAC",PF,22.0,31.0,1.0,2.3,0.3,1.1,0.306,0.513,0.712,0.4,1.2,1.6,0.5,0.2,0.3,0.3,2.5
Kai Jones,CHO,C,22.0,34.0,1.0,1.6,0.0,0.2,0.356,0.646,0.553,0.4,1.2,1.6,0.2,0.2,0.4,0.5,2.2
Kaiser Gates,NOP,SF,27.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Karim Mané,ORL,PG,20.0,10.0,0.3,1.3,0.1,0.2,0.5,0.182,0.8,0.1,1.3,1.4,0.4,0.0,0.2,0.3,1.1
Karl-Anthony Towns,MIN,"PF, C",26.0,54.0,8.0,16.0,2.2,5.6,0.395,0.562,0.857,2.1,7.1,9.2,4.0,0.8,0.9,3.0,23.0
Kawhi Leonard,LAC,SF,31.0,57.0,8.8,17.1,2.0,4.9,0.41,0.559,0.88,1.1,5.2,6.4,4.2,1.5,0.6,1.8,24.1
Keegan Murray,SAC,SF,22.0,78.0,5.1,11.2,2.5,6.4,0.384,0.544,0.798,1.2,3.8,5.0,1.4,0.9,0.6,0.8,13.7
Keifer Sykes,IND,PG,28.0,32.0,2.2,5.9,0.8,2.8,0.3,0.42,0.882,0.3,1.2,1.4,1.9,0.4,0.1,1.0,5.6
Keita Bates-Diop,"SAS, BRK, PHO, 2TM","SF, PF",27.0,44.0,1.7,3.6,0.4,1.2,0.302,0.55,0.783,0.6,1.8,2.4,0.8,0.5,0.3,0.4,4.6
Kelan Martin,"IND, 2TM, BOS",SF,26.0,24.0,1.7,4.2,0.6,1.8,0.248,0.374,0.571,0.5,1.2,1.7,0.5,0.3,0.2,0.4,4.1
Keldon Johnson,SAS,SF,22.0,69.0,6.2,13.5,1.7,4.9,0.351,0.524,0.759,1.2,4.5,5.6,2.4,0.7,0.2,1.5,16.9
Keljin Blevins,POR,SF,26.0,24.0,0.7,2.4,0.4,1.4,0.271,0.292,0.272,0.4,0.6,1.0,0.4,0.2,0.0,0.4,1.9
