Player,Age,Team,Pos,G,FG,FGA,FG%,3P,3PA,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS
Joel Embiid,27.0,PHI,C,68.0,9.8,19.6,0.499,1.4,3.7,0.371,0.529,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,30.6
LeBron James,37.0,LAL,C,56.0,11.4,21.8,0.524,2.9,8.0,0.359,0.62,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,30.3
Giannis Antetokounmpo,27.0,MIL,PF,67.0,10.3,18.6,0.553,1.1,3.6,0.293,0.616,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,29.9
Kevin Durant,33.0,BRK,PF,55.0,10.5,20.3,0.518,2.1,5.5,0.383,0.568,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,29.9
Luka Dončić,22.0,DAL,PG,65.0,9.9,21.6,0.457,3.1,8.8,0.353,0.528,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,28.4
Trae Young,23.0,ATL,PG,76.0,9.4,20.3,0.46,3.1,8.0,0.382,0.512,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4.0,28.4
DeMar DeRozan,32.0,CHI,PF,76.0,10.2,20.2,0.504,0.7,1.9,0.352,0.52,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,27.9
Kyrie Irving,29.0,BRK,PG,29.0,10.0,21.2,0.469,3.4,8.2,0.418,0.501,0.915,0.6,3.8,4.4,5.8,1.4,0.6,2.5,27.4
Ja Morant,22.0,MEM,PG,57.0,10.2,20.6,0.493,1.5,4.5,0.344,0.534,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,27.4
Nikola Jokić,26.0,DEN,C,74.0,10.3,17.7,0.583,1.3,3.9,0.337,0.652,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,27.1
Jayson Tatum,23.0,BOS,SF,76.0,9.3,20.6,0.453,3.0,8.6,0.353,0.524,0.853,1.1,6.9,8.0,4.4,1.0,0.6,2.9,26.9
Devin Booker,25.0,PHO,SG,68.0,9.7,20.9,0.466,2.7,7.0,0.383,0.508,0.868,0.7,4.4,5.0,4.8,1.1,0.4,2.4,26.8
Donovan Mitchell,25.0,UTA,SG,67.0,9.2,20.5,0.448,3.5,9.8,0.355,0.533,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,25.9
Stephen Curry,33.0,GSW,PG,64.0,8.4,19.1,0.437,4.5,11.7,0.38,0.527,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,25.5
Karl-Anthony Towns,26.0,MIN,C,74.0,8.7,16.4,0.529,2.0,4.9,0.41,0.58,0.822,2.6,7.2,9.8,3.6,1.0,1.1,3.1,24.6
Shai Gilgeous-Alexander,23.0,OKC,PG,56.0,8.5,18.8,0.453,1.6,5.3,0.3,0.514,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,24.5
Zach LaVine,26.0,CHI,SG,67.0,8.4,17.7,0.476,2.8,7.1,0.389,0.534,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,24.4
Paul George,31.0,LAC,PF,31.0,8.6,20.5,0.421,2.9,8.3,0.354,0.467,0.858,0.4,6.5,6.9,5.7,2.2,0.4,4.1,24.3
Damian Lillard,31.0,POR,PG,29.0,7.7,19.0,0.402,3.2,9.8,0.324,0.485,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,24.0
Jaylen Brown,25.0,BOS,SF,66.0,8.7,18.4,0.473,2.5,7.0,0.358,0.544,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,23.6
Bradley Beal,28.0,WAS,SG,40.0,8.7,19.3,0.451,1.6,5.3,0.3,0.508,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,23.2
Anthony Davis,28.0,LAL,C,40.0,9.3,17.4,0.532,0.3,1.8,0.186,0.571,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,23.2
De'Aaron Fox,24.0,SAC,PG,59.0,8.7,18.5,0.473,1.3,4.2,0.297,0.524,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,23.2
Pascal Siakam,27.0,TOR,PF,68.0,8.8,17.8,0.494,1.1,3.2,0.344,0.527,0.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,22.8
Brandon Ingram,24.0,NOP,SF,55.0,8.2,17.9,0.461,1.3,4.1,0.327,0.501,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,22.7
CJ McCollum,30.0,2TM,PG,62.0,8.6,18.8,0.46,2.9,7.6,0.388,0.509,0.682,0.9,3.5,4.3,5.1,1.1,0.4,2.0,22.1
CJ McCollum,30.0,POR,SG,36.0,8.1,18.5,0.436,3.1,8.0,0.384,0.476,0.706,0.9,3.3,4.3,4.5,1.0,0.6,1.9,20.5
CJ McCollum,30.0,NOP,PG,26.0,9.5,19.2,0.493,2.7,6.9,0.394,0.549,0.667,0.7,3.7,4.5,5.8,1.3,0.0,2.2,24.3
James Harden,32.0,2TM,PG,65.0,6.3,15.3,0.41,2.3,6.9,0.33,0.476,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,22.0
James Harden,32.0,BRK,PG,44.0,6.6,16.0,0.414,2.3,7.0,0.332,0.476,0.869,1.0,7.0,8.0,10.2,1.3,0.7,4.8,22.5
James Harden,32.0,PHI,PG,21.0,5.5,13.6,0.402,2.2,6.7,0.326,0.476,0.892,0.6,6.5,7.1,10.5,1.2,0.2,3.4,21.0
Darius Garland,22.0,CLE,PG,68.0,8.0,17.3,0.462,2.6,6.7,0.383,0.512,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,21.7
Jimmy Butler,32.0,MIA,SF,57.0,7.0,14.5,0.48,0.5,2.0,0.233,0.52,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,21.4
Anthony Edwards,20.0,MIN,SG,72.0,7.6,17.3,0.441,3.0,8.4,0.357,0.519,0.786,0.9,3.9,4.8,3.8,1.5,0.6,2.6,21.3
